1,1,224700,,,,,6.079e-05,01.08901332,282.485875706215,-5.20,-1.88,,9.10,1.84501631012894,F5,0.482,282.43485,0.00449,5.36884,4.9e-08,-7.12e-06,-2.574e-06
2,2,224690,,,,,0.00025315,-19.49883745,45.662100456621,181.21,-0.93,,9.27,5.97222057420059,K3V,0.999,43.04329,0.00285,-15.24144,-7.1e-08,4.0112e-05,-1.94e-07
3,3,224699,,,,,0.00033386,38.85928608,355.871886120996,5.24,-2.91,,6.61,-1.1464684004746,B9,-0.019,277.11358,0.02422,223.27753,3.148e-06,9.04e-06,-3.909e-06
4,4,224707,,,,,0.00055878,-51.89354612,129.032258064516,62.85,0.16,,8.06,2.50650851253155,F0V,0.370,79.62896,0.01164,-101.53103,7.2e-08,3.9313e-05,6.1e-08
5,5,224705,,,,,0.00066435,-40.59122440,348.432055749129,2.53,9.07,,8.55,0.839409483669963,G8III,0.902,264.58918,0.04601,-226.71007,9.967e-06,4.275e-06,1.1633e-05
6,6,,,,,,0.00120942,03.94648893,53.1914893617021,226.29,-12.84,,12.31,8.6807892463184,M0V:,1.336,53.06535,0.0168,3.66089,2.09e-07,5.835e-05,-3.303e-06
7,7,,,,,,0.00150326,20.03660216,56.369785794814,-208.12,-200.79,,9.64,5.88476807747854,G0,0.740,52.95794,0.02084,19.31343,1.8821e-05,-5.6864e-05,-5.1547e-05
8,8,224709,,,,,0.00181944,25.88647445,193.423597678917,19.09,-5.66,,9.05,2.61745271546971,M6e-M8.5e Tc,1.102,174.01562,0.08288,84.44669,2.308e-06,1.7901e-05,-4.774e-06
9,9,224708,,,,,0.00235612,36.58593777,207.900207900208,-6.30,8.42,,8.59,2.00072538186916,G5,1.067,166.9363,0.10297,123.9143,-5.053e-06,-6.352e-06,6.813e-06
10,10,224717,,,,,0.00241687,-50.86707360,92.9368029739777,42.23,40.02,,8.59,3.74906135665185,F6V,0.489,58.65441,0.03711,-72.08957,1.3973e-05,1.9034e-05,1.1379e-05
11,11,224720,,,,,0.00248646,46.94000154,233.100233100233,11.09,-2.02,,7.34,0.502286460923622,A2,0.081,159.15237,0.1036,170.31215,1.659e-06,1.2532e-05,-1.558e-06
12,12,224715,,,,,0.00272783,-35.96022482,246.305418719212,-5.99,-0.10,,8.43,1.47263016788597,K4III,1.484,199.36567,0.14237,-144.63632,-6.5e-08,-7.152e-06,-9.6e-08
13,13,224728,,,,,0.00277864,-22.59468060,286.532951289398,8.45,-10.07,,8.80,1.5141271347959,K0III,1.128,264.5403,0.19243,-110.08871,-5.382e-06,1.1733e-05,-1.2913e-05
14,14,224726,,,,,0.00321812,-00.36042119,195.694716242661,61.75,-11.67,,7.25,0.792104500673564,K0,1.200,195.69077,0.16486,-1.23101,-1.18e-07,5.858e-05,-1.107e-05
15,15,236267,,,,,0.00335392,50.79117384,408.163265306122,13.88,5.47,,8.60,0.545830421822663,K2,1.166,258.01976,0.22655,316.26412,-8.41e-06,2.7456e-05,6.841e-06
16,17,224732,,,,,0.00340663,-40.19232842,162.60162601626,-34.46,-26.37,,8.15,2.09437557887709,F3V,0.425,124.20847,0.11077,-104.93583,-1.339e-05,-2.7174e-05,-1.5878e-05
17,16,,,,,,0.00342723,-54.91412819,1886.79245283019,257.39,-96.63,,11.71,0.331379348003946,,0.421,1084.53445,0.97309,-1543.94618,-0.00072535,0.002353602,-0.000508033
18,18,,,,,,0.00354261,-04.05373813,50.1756146512795,-127.22,23.78,,11.03,7.52753649350244,K5,1.567,50.05006,0.04641,-3.54701,4.37e-07,-3.0944e-05,5.769e-06
19,19,224721,,,,,0.00355446,38.30408636,242.718446601942,-2.50,-15.07,,6.53,-0.395513919834326,G5,0.955,190.46888,0.17724,150.44538,1.0993e-05,-2.931e-06,-1.3914e-05
20,20,224723,,,,,0.0041967,23.52928397,92.9368029739777,36.00,-22.98,,8.51,3.66906135665185,G0,0.516,85.20962,0.09361,37.10201,4.115e-06,1.6223e-05,-9.492e-06
21,21,224724,,,,,0.00441571,08.00723437,171.232876712329,61.89,-0.22,,7.55,1.382064235562,K2,1.438,169.56332,0.19602,23.85242,-3.3e-08,5.1374e-05,-1.8e-07
22,22,224735,,,,,0.00467572,-49.35226686,223.713646532439,-7.90,0.46,,8.69,1.94153761565968,G8/K0III/IV,0.962,145.72842,0.17838,-169.738,3.88e-07,-8.567e-06,3.24e-07
23,23,224742,,,,,0.00496195,13.31221083,81.9000819000819,54.15,9.65,,7.57,3.00357831972441,F2V,0.456,79.69934,0.10353,18.85807,-9.1e-07,2.1497e-05,3.728e-06
24,24,224746,,,,,0.00506998,-23.45274913,102.774922918808,127.15,22.22,,9.05,3.99056420134176,G0V,0.528,94.28446,0.12514,-40.90366,4.321e-06,6.3354e-05,1.0155e-05
25,25,224750,9077,,,,0.00529102,-44.29029741,72.7802037845706,58.36,-108.64,3,6.28,1.96993366361766,G3IV,0.763,52.09682,0.07216,-50.82198,-2.4597e-05,2.0556e-05,-2.9579e-05
26,26,224744,,,,,0.00562305,-13.39329686,108.813928182807,-103.33,-33.35,,9.13,3.94657755693056,F7V,0.535,105.85439,0.15582,-25.20501,-3.994e-06,-5.4512e-05,-1.7113e-05
27,27,224748,,,,,0.00569798,-41.29753696,103.51966873706,135.96,-113.67,,9.32,4.24488563207747,G5V,0.671,77.77346,0.11601,-68.31981,-3.7748e-05,6.8173e-05,-4.2856e-05
28,28,224749,,,,,0.00581658,-43.36179962,177.304964539007,-10.96,-8.69,,8.83,2.58639551991671,F3/F5V,0.468,128.90634,0.19629,-121.7381,-5.114e-06,-9.428e-06,-5.43e-06
29,29,224751,,,,,0.00614207,-49.10795505,350.877192982456,26.86,4.05,,9.14,1.41422430004255,G8III,1.041,229.69649,0.36935,-265.24363,5.134e-06,4.5695e-05,4.509e-06
30,30,224757,,,,,0.00640904,42.14149882,263.852242744063,-8.44,-10.14,,8.26,1.15319604984036,A0,0.142,195.64354,0.32826,177.03531,8.72e-06,-1.078e-05,-9.617e-06
31,31,224760,,,,,0.00653959,02.67547768,543.478260869565,-4.88,-0.20,,7.63,-1.04591088495232,K2,1.453,542.88504,0.92945,25.36898,4.6e-08,-1.2856e-05,-5.26e-07
32,32,224756,,,,,0.00657225,51.93949050,322.58064516129,-0.39,-1.38,,9.09,1.54680846917136,B8,0.040,198.86852,0.34217,253.98713,1.7e-06,-6.06e-07,-1.33e-06
33,33,224743,,,,,0.00661205,-10.46245445,111.856823266219,-3.62,28.71,,8.10,2.85668759397959,F2,0.466,109.99693,0.1904,-20.31221,2.83e-06,-1.958e-06,1.5309e-05
34,34,224758,9078,,,,0.00663131,26.91823821,78.6782061369001,42.20,-53.47,0,6.43,1.95072775277004,F7.5IV-V,0.514,70.15358,0.12179,35.61908,9.204e-06,1.6111e-05,-1.8184e-05
